2023-03-08 10:13:04.768646 [INFO   ] [APP] application started
2023-03-08 10:13:06.230909 [INFO   ] [AUTO] hedge order 5 filled for 10 lots at $147100 average price in cents
2023-03-08 10:13:06.433366 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.433375 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:06.433378 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-08 10:13:06.464501 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.464508 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.464512 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147300; ask volumes: 6000; bid prices: 147000; bid volumes: 6000
2023-03-08 10:13:06.464544 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:06.464553 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.464556 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.464559 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146900; bid volumes: 10
2023-03-08 10:13:06.464580 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-08 10:13:06.464803 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.464808 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.465099 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.465108 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.465134 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:06.465141 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-08 10:13:06.465143 [INFO   ] [AUTO] order 7 filled for 1 lots at $147000 cents
2023-03-08 10:13:06.465178 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.465182 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:06.465186 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 0; bid volumes: 0
2023-03-08 10:13:06.465190 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-08 10:13:06.465193 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.465195 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.465265 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:06.465271 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-08 10:13:06.465273 [INFO   ] [AUTO] hedge order 8 filled for 1 lots at $147100 average price in cents
2023-03-08 10:13:06.722516 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.722536 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.722542 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 1000; bid prices: 147000; bid volumes: 6000
2023-03-08 10:13:06.722586 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:06.722595 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.722598 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.722600 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147400; ask volumes: 10; bid prices: 147100; bid volumes: 9
2023-03-08 10:13:06.722617 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-08 10:13:06.722763 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.722772 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.722828 [DEBUG  ] [CON] 'Exec' received 38 bytes
2023-03-08 10:13:06.722832 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.722836 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.722859 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.722863 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.952435 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.952445 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.952449 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 2900
2023-03-08 10:13:06.952481 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:06.952491 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.952493 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.952496 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-08 10:13:06.952518 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:06.952641 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.952649 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.952709 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.952716 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:07.170509 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.170516 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.170519 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 3900
2023-03-08 10:13:07.170535 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.170539 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.170542 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-08 10:13:07.420214 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.420219 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.420222 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9420; bid prices: 147000; bid volumes: 900
2023-03-08 10:13:07.420242 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.420245 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.420247 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-08 10:13:07.484689 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.484698 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:07.484702 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 900
2023-03-08 10:13:07.586852 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.586857 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:07.586860 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 500
2023-03-08 10:13:07.724125 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.724130 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.724133 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 13400; bid prices: 146900; bid volumes: 4000
2023-03-08 10:13:07.724173 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:07.724186 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.724189 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.724192 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-08 10:13:07.724212 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:07.724434 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:07.724439 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:07.724631 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:07.724636 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:07.938913 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:07.938919 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-08 10:13:07.938922 [INFO   ] [AUTO] order 12 filled for 10 lots at $146900 cents
2023-03-08 10:13:07.939007 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.939011 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:07.939014 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 10
2023-03-08 10:13:07.939018 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-08 10:13:07.939021 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:07.939023 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:07.939060 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:07.939065 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-08 10:13:07.939068 [INFO   ] [AUTO] hedge order 13 filled for 10 lots at $146800 average price in cents
2023-03-08 10:13:07.964877 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.964884 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.964887 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146800; bid volumes: 1000
2023-03-08 10:13:07.964915 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:07.964924 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:07.964926 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:07.964929 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146400; bid volumes: 9939
2023-03-08 10:13:07.964953 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-08 10:13:07.965053 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:07.965058 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:07.965118 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:07.965123 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:07.965145 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:07.965149 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.214995 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.215020 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.215026 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-08 10:13:08.215083 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:08.215099 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.215102 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.215105 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:08.215130 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:08.215227 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.215233 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.215262 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.215266 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.484095 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.484103 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.484107 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 10400; bid prices: 146800; bid volumes: 3000
2023-03-08 10:13:08.484139 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:08.484148 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.484151 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.484154 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-08 10:13:08.484171 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:08.484279 [DEBUG  ] [CON] 'Exec' received 38 bytes
2023-03-08 10:13:08.484283 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.484287 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.679019 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.679038 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.679043 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146900; bid volumes: 5000
2023-03-08 10:13:08.679088 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:08.679099 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.679102 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.679104 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:08.679131 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:08.679186 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.679190 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.679211 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.679214 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.845215 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:08.845239 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-08 10:13:08.845244 [INFO   ] [AUTO] order 14 filled for 10 lots at $147000 cents
2023-03-08 10:13:08.845278 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.845282 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:08.845286 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-08 10:13:08.845291 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-08 10:13:08.845294 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.845297 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.845384 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:08.845389 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-08 10:13:08.845392 [INFO   ] [AUTO] hedge order 19 filled for 10 lots at $147000 average price in cents
2023-03-08 10:13:08.904502 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.904509 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.904514 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146800; bid volumes: 14000
2023-03-08 10:13:08.904547 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:08.904558 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:08.904561 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:08.904563 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147500; ask volumes: 9917; bid prices: 146900; bid volumes: 10
2023-03-08 10:13:08.904599 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-08 10:13:08.904641 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.904649 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.904713 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.904718 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:08.904767 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:08.904771 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:09.089101 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:09.089119 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-08 10:13:09.089124 [INFO   ] [AUTO] order 21 filled for 10 lots at $146800 cents
2023-03-08 10:13:09.089161 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-08 10:13:09.089169 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:09.089171 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:09.089205 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.089209 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:09.089213 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:09.089284 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:09.089289 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-08 10:13:09.089291 [INFO   ] [AUTO] hedge order 22 filled for 10 lots at $146800 average price in cents
2023-03-08 10:13:09.199835 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.199855 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.199860 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146800; bid volumes: 13000
2023-03-08 10:13:09.199906 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:09.199911 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.199913 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.199916 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146300; bid volumes: 9993
2023-03-08 10:13:09.200020 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:09.200028 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:09.402177 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.402214 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.402223 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 2000
2023-03-08 10:13:09.402262 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.402266 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.402269 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:09.649590 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.649625 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.649632 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 5000
2023-03-08 10:13:09.649655 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.649662 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.649665 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:09.943985 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:09.944009 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-08 10:13:09.944014 [INFO   ] [AUTO] order 23 filled for 10 lots at $146800 cents
2023-03-08 10:13:09.944056 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-08 10:13:09.944104 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:09.944111 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:09.944152 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.944158 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:09.944161 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:09.944234 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:09.944242 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-08 10:13:09.944245 [INFO   ] [AUTO] hedge order 24 filled for 10 lots at $146800 average price in cents
2023-03-08 10:13:09.976358 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:09.976378 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:09.976383 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 15130; bid prices: 146800; bid volumes: 2000
